bio_4,bio_9,bio_13,bio_14,bio_18,bio_19,DEM,slope,aspect,ndvi,dome_slep,presence,decimalLatitude,decimalLongitude,lulc_10.0,lulc_20.0,lulc_30.0,lulc_40.0,lulc_50.0,lulc_60.0,lulc_80.0,lulc_90.0,lulc_95.0,lat_block,lon_block,block_id
187.86884,20.866667,233.0,2.0,350.0,42.0,23.555625915527344,0.0024268918205052,0.0,0.7254277882797732,0.05716695586127362,1,14.438294,101.37219,True,False,False,False,False,False,False,False,False,14,101,14_101
130.45375,26.316666,240.0,4.0,282.0,68.0,0.0,0.0110050421208143,268.4823303222656,0.1302972727272727,0.0,1,13.50689,100.251884,False,False,False,False,False,False,True,False,False,13,100,13_100
70.38853,26.433332,536.0,24.0,591.0,654.0,3.5653696060180664,0.0110050421208143,268.4823303222656,0.500534404536862,0.03923704269049991,1,9.379787,98.43475,False,False,False,False,False,False,False,False,True,9,98,9_98
74.01242,28.166666,329.0,28.0,399.0,581.0,2.527261257171631,0.0879868641495704,54.20341110229492,0.3858914606741573,0.22236579290523278,1,8.075191,98.91762,False,False,False,False,False,False,True,False,False,8,98,8_98
134.46584,26.433332,289.0,7.0,363.0,60.0,1.4995639324188232,0.0135219236835837,192.32061767578125,0.227970888468809,0.020276989052821992,1,13.741626,100.812386,True,False,False,False,False,False,False,False,False,13,100,13_100
131.10255,26.266666,211.0,3.0,223.0,88.0,336.7917175292969,0.123499110341072,5.85466194152832,0.5047060491493384,41.59347748510979,1,13.247844,99.93178,True,False,False,False,False,False,False,False,False,13,99,13_99
119.61032,26.983334,250.0,6.0,264.0,150.0,310.2550964355469,0.123499110341072,5.85466194152832,0.2815345935727789,38.316228388573535,1,11.324386,105.27196,False,False,False,False,True,False,False,False,False,11,105,11_105
269.2315,21.683332,192.0,2.0,319.0,18.0,2.3264522552490234,0.0172038804739713,93.62975311279295,0.1878173913043478,0.04002400652770517,1,18.759819,98.93641,False,False,False,False,True,False,False,False,False,18,98,18_98
269.6406,22.116667,197.0,3.0,330.0,19.0,7.144205093383789,0.0076767080463469,180.0,0.3405835538752363,0.05484397672513184,1,18.790995,99.001976,False,False,False,False,True,False,False,False,False,18,99,18_99
41.18281,27.333332,330.0,121.0,521.0,606.0,4.144309043884277,0.0172038804739713,93.62975311279295,0.5160086956521739,0.07129819743818339,1,4.944736,100.46431,False,False,False,True,False,False,False,False,False,4,100,4_100
121.62025,27.166666,300.0,7.0,378.0,66.0,1.6032538414001465,0.2979472875595093,182.0466766357422,0.2061020833333333,0.4776851333145373,1,13.688365,100.508255,False,False,False,False,False,False,True,False,False,13,100,13_100
49.103718,27.416666,298.0,149.0,498.0,770.0,676.2069702148438,0.0110050421208143,268.4823303222656,0.6690574669187146,7.441686189602576,1,1.381147,103.95338,True,False,False,False,False,False,False,False,False,1,103,1_103
125.12643,26.5,213.0,4.0,201.0,96.0,23.0,0.0420358330011367,257.1561584472656,0.2583466666666666,0.9668241590261442,1,13.033515,100.01353,False,False,False,False,False,False,True,False,False,13,100,13_100
35.12694,27.383333,279.0,103.0,386.0,760.0,38.167022705078125,0.0108803436160087,180.0,0.7269824196597354,0.41527032183125584,1,3.4694,101.1114,True,False,False,False,False,False,False,False,False,3,101,3_101
57.424206,23.333334,553.0,112.0,445.0,1076.0,29.436206817626957,0.0076767080463469,180.0,0.4950601321585903,0.22597316573080833,1,2.778528,104.15574,True,False,False,False,False,False,False,False,False,2,104,2_104
65.935875,23.5,445.0,35.0,574.0,630.0,1.6095856428146362,0.0496004223823547,143.80120849609375,0.2208928166351607,0.07983612774417986,1,8.954941,98.55972,False,False,False,False,False,False,False,False,True,8,98,8_98
180.85028,26.0,211.0,3.0,242.0,35.0,5.142364978790283,0.0711122527718544,180.3468017578125,0.163624,0.3656851582168663,1,15.701714,100.26398,False,False,False,False,False,False,True,False,False,15,100,15_100
73.39188,27.583332,288.0,28.0,372.0,616.0,2.8435845375061035,0.0879868641495704,54.20341110229492,0.5046345935727788,0.25019808639936847,1,7.920548,99.254555,False,False,False,False,True,False,False,False,False,7,99,7_99
50.40743,27.266666,302.0,147.0,492.0,767.0,1.5348626375198364,0.0172038804739713,93.62975311279295,0.1738627192982456,0.026405593359855605,1,1.403608,103.96883,False,False,False,False,False,False,True,False,False,1,103,1_103
462.02618,17.683334,393.0,20.0,760.0,86.0,402.9129943847656,0.123499110341072,5.85466194152832,0.6862379962192817,49.75939635137589,1,20.244,106.57,True,False,False,False,False,False,False,False,False,20,106,20_106
122.11133,26.616667,217.0,3.0,180.0,94.0,6.18196439743042,0.0172038804739713,93.62975311279295,0.5865805293005671,0.10635377658773897,1,13.3412,99.8817,True,False,False,False,False,False,False,False,False,13,99,13_99
130.39859,26.266666,212.0,3.0,199.0,90.0,483.56097412109375,0.0340652614831924,199.48704528808597,0.6202693761814745,16.47263102650229,1,13.044362,100.07738,True,False,False,False,False,False,False,False,False,13,100,13_100
276.86832,21.25,210.0,3.0,331.0,21.0,0.9914339780807496,0.0172038804739713,93.62975311279295,0.3326665406427221,0.0170565116567351,1,18.907404,98.90116,False,False,False,False,False,False,True,False,False,18,98,18_98
130.97537,26.316666,244.0,4.0,289.0,68.0,3.117611885070801,0.0110050421208143,268.4823303222656,0.4311240384615385,0.03430945011155543,1,13.503445,100.26961,False,False,False,False,False,False,False,False,True,13,100,13_100
123.05686,26.983334,314.0,6.0,394.0,61.0,6.90195369720459,0.0021501367446035,183.623291015625,0.1907724007561436,0.014840144253911567,1,13.696818,100.56484,False,False,False,False,True,False,False,False,False,13,100,13_100
90.512024,24.0,554.0,9.0,529.0,124.0,27.0,0.0172038804739713,93.62975311279295,0.2371529300567108,0.46450477279722513,1,12.057116,102.329155,False,False,False,False,False,False,True,False,False,12,102,12_102
89.90735,27.733334,265.0,4.0,229.0,220.0,8.31633186340332,0.0172038804739713,93.62975311279295,0.3587504405286343,0.14307317935986974,1,10.033333,105.78333,False,False,False,False,False,False,False,False,True,10,105,10_105
116.482544,26.566666,260.0,9.0,361.0,82.0,22.24244499206543,0.0076767080463469,180.0,0.5647402646502836,0.170748756441017,1,13.206346,100.98301,True,False,False,False,False,False,False,False,False,13,100,13_100
173.91873,25.083334,340.0,1.0,252.0,56.0,8.94646167755127,0.0879868641495704,54.20341110229492,0.4729368620037807,0.7871711082420412,1,13.930006,104.55317,False,False,False,False,True,False,False,False,False,13,104,13_104
281.16235,18.866667,278.0,3.0,468.0,24.0,1.139971137046814,0.0172038804739713,93.62975311279295,0.4491423440453687,0.019611927185530544,1,20.57076,96.91212,False,False,False,False,False,True,False,False,False,20,96,20_96
130.97537,26.316666,244.0,4.0,289.0,68.0,1.373497486114502,0.0172038804739713,93.62975311279295,0.1597792452830188,0.02362948658241395,1,13.502941,100.27102,False,False,False,False,False,False,True,False,False,13,100,13_100
45.14917,27.2,294.0,157.0,539.0,778.0,2.345982551574707,0.0496004223823547,143.80120849609375,0.4176459357277883,0.11636172545973969,1,1.314832,103.81596,False,False,False,False,False,False,False,False,True,1,103,1_103
125.27242,26.6,217.0,3.0,206.0,99.0,0.8916450142860413,0.0496004223823547,143.80120849609375,0.1189064393939394,0.04422596932370834,1,13.092955,99.948494,False,False,False,False,False,False,True,False,False,13,99,13_99
124.81498,26.883333,308.0,7.0,388.0,68.0,82.52214050292969,0.1312048137187957,192.6431579589844,0.6741393194706995,10.827302072363175,1,13.5468,100.6389,True,False,False,False,False,False,False,False,False,13,100,13_100
126.82009,26.333334,258.0,4.0,295.0,62.0,6.157350540161133,0.0172038804739713,93.62975311279295,0.5007926275992439,0.10593032272927476,1,13.513005,100.37207,True,False,False,False,False,False,False,False,False,13,100,13_100
462.55444,17.7,392.0,20.0,747.0,86.0,1.0027573108673096,0.0100923534482717,181.61260986328125,0.2395824196597353,0.010120181204111348,1,20.223543,106.56464,False,False,False,False,False,False,False,False,True,20,106,20_106
462.41132,17.7,393.0,20.0,759.0,86.0,6.227745056152344,0.0422675907611846,159.9932098388672,0.5728166351606806,0.2632317793984379,1,20.24416,106.55914,False,False,False,False,False,False,False,True,False,20,106,20_106
148.23392,25.766666,348.0,4.0,363.0,60.0,4.83152961730957,0.0110050421208143,268.4823303222656,0.3614479674796748,0.05317118694645361,1,14.44004,98.84802,False,False,False,False,False,False,True,False,False,14,98,14_98
140.83894,26.333332,251.0,4.0,299.0,56.0,0.0,0.0110050421208143,268.4823303222656,-0.0136353211009174,0.0,1,13.781693,100.316055,False,False,False,False,False,False,True,False,False,13,100,13_100
84.945366,26.483334,560.0,17.0,527.0,208.0,4.082958698272705,0.0100923534482717,181.61260986328125,0.4630981776765376,0.04120666229766346,1,10.56218,104.17559,False,False,True,False,False,False,False,False,False,10,104,10_104
157.79494,25.066668,234.0,1.0,340.0,20.0,8.055819511413574,0.0422675907611846,159.9932098388672,0.4688835538752363,0.34050008235439505,1,13.250974,103.612404,False,False,False,True,False,False,False,False,False,13,103,13_103
85.256996,26.233334,380.0,18.0,456.0,213.0,26.715072631835938,0.0420358330011367,257.1561584472656,0.5661086956521739,1.122990331765093,1,10.514892,104.286835,False,False,False,False,False,False,False,True,False,10,104,10_104
162.91148,25.316668,252.0,1.0,362.0,95.0,748.3472290039062,0.0873307585716247,230.0655975341797,0.7163224952741021,65.35373118388448,1,13.300389,103.81907,True,False,False,False,False,False,False,False,False,13,103,13_103
154.8527,25.816666,235.0,3.0,299.0,42.0,2.2191731929779053,0.0879868641495704,54.20341110229492,0.5377034026465028,0.1952580902549153,1,14.150843,100.48924,False,False,False,True,False,False,False,False,False,14,100,14_100
187.40405,26.133333,216.0,4.0,250.0,39.0,0.0670055001974105,0.0172038804739713,93.62975311279295,0.2258283582089552,0.0011527546164949107,1,15.733056,100.196945,False,False,False,False,False,False,False,False,True,15,100,15_100
186.76064,26.3,213.0,3.0,242.0,36.0,5.345604419708252,0.0100923534482717,181.61260986328125,0.3678597353497164,0.053949729198339014,1,15.674,100.2437,False,False,False,False,True,False,False,False,False,15,100,15_100
185.4642,20.883333,234.0,2.0,352.0,42.0,520.5633544921875,0.0918879359960556,338.8590087890625,0.6526221172022685,47.83349219947013,1,14.412958,101.3722,True,False,False,False,False,False,False,False,False,14,101,14_101
117.46051,26.683334,206.0,3.0,160.0,93.0,17.658140182495117,0.0422675907611846,159.9932098388672,0.1526192607003891,0.7463670428373332,1,13.172959,99.879135,False,False,False,True,False,False,False,False,False,13,99,13_99
131.99232,26.35,216.0,3.0,221.0,88.0,0.3089016079902649,0.0076767080463469,180.0,0.11152375,0.0023713474595883624,1,13.155887,100.06585,False,False,False,False,False,False,True,False,False,13,100,13_100
84.70088,26.65,567.0,22.0,534.0,222.0,12.313189506530762,0.0110050421208143,268.4823303222656,0.5882771266540643,0.13550716916093966,1,10.607237,104.17907,True,False,False,False,False,False,False,False,False,10,104,10_104
182.26427,22.783333,334.0,3.0,300.0,44.0,12.71961784362793,0.0422675907611846,159.9932098388672,0.5053854442344046,0.5376276016531267,1,15.874167,98.844681,False,False,False,True,False,False,False,False,False,15,98,15_98
162.94809,25.366667,265.0,1.0,226.0,91.0,363.81640625,0.0144206946715712,164.5142364501953,0.7179610586011342,5.2464853110395575,1,13.434903,103.80876,True,False,False,False,False,False,False,False,False,13,103,13_103
42.877087,27.1,298.0,145.0,526.0,736.0,1.727202534675598,0.0172038804739713,93.62975311279295,0.4871771266540642,0.029714585960899258,1,1.437363,103.76166,False,False,False,False,True,False,False,False,False,1,103,1_103
65.65519,27.016666,593.0,34.0,700.0,734.0,7.236446380615234,0.0422675907611846,159.9932098388672,0.5719347826086957,0.3058671541811002,1,8.865783,98.35019,False,False,False,False,False,False,False,True,False,8,98,8_98
165.97966,25.366667,255.0,1.0,223.0,96.0,4.164266586303711,0.0110050421208143,268.4823303222656,0.7289060491493384,0.04582792918457191,1,13.323481,103.84121,False,False,False,False,False,False,True,False,False,13,103,13_103
115.699455,24.183332,192.0,5.0,189.0,83.0,4.248981475830078,0.0879868641495704,54.20341110229492,0.463993572778828,0.37385455588790223,1,12.799918,99.46833,True,False,False,False,False,False,False,False,False,12,99,12_99
130.65321,26.3,211.0,3.0,227.0,88.0,35.24908828735352,0.2979472875595093,182.0466766357422,0.4201603024574669,10.50237024416265,1,13.263061,99.94487,True,False,False,False,False,False,False,False,False,13,99,13_99
130.96379,26.383333,217.0,3.0,225.0,89.0,66.37788391113281,0.2979472875595093,182.0466766357422,0.2517001890359168,19.777110465262012,1,13.151591,100.02185,True,False,False,False,False,False,False,False,False,13,100,13_100
156.34074,25.05,232.0,1.0,339.0,20.0,17.49165916442871,0.0422675907611846,159.9932098388672,0.4039274102079395,0.739330291296197,1,13.226592,103.615486,False,False,False,True,False,False,False,False,False,13,103,13_103
53.856903,27.85,630.0,37.0,689.0,1227.0,37.16998291015625,0.0076767080463469,180.0,0.450534404536862,0.28534310688897324,1,8.661587,97.64866,False,False,False,False,True,False,False,False,False,8,97,8_97
64.330734,27.416668,423.0,33.0,487.0,589.0,0.0,0.0172038804739713,93.62975311279295,0.0884358974358974,0.0,1,8.106297,98.35059,False,False,False,False,False,False,True,False,False,8,98,8_98
122.5201,26.533333,209.0,3.0,164.0,91.0,2.414335250854492,0.0172038804739713,93.62975311279295,0.3083681102362205,0.0415359350797962,1,13.197785,99.8857,False,False,False,False,False,False,True,False,False,13,99,13_99
37.906876,27.316666,307.0,132.0,598.0,743.0,2.170480489730835,0.0021501367446035,183.623291015625,0.4041051039697542,0.004666829854415268,1,3.200772,101.56355,False,False,False,False,False,False,True,False,False,3,101,3_101
29.423134,27.65,300.0,130.0,655.0,689.0,1.8383092880249023,0.0110050421208143,268.4823303222656,0.0899299492385787,0.020230671145798195,1,3.151057,101.69901,False,False,False,False,False,False,True,False,False,3,101,3_101
171.24321,25.9,260.0,1.0,239.0,47.0,10.963725090026855,0.0590196400880813,229.50328063964844,0.416081663516068,0.6470751088380517,1,13.868594,103.353874,False,False,False,True,False,False,False,False,False,13,103,13_103
41.80356,27.083332,294.0,151.0,532.0,752.0,1.930041790008545,0.0172038804739713,93.62975311279295,0.1151241269841269,0.033204208265076626,1,1.3487,103.763466,False,False,False,False,False,False,True,False,False,1,103,1_103
132.29329,26.433332,216.0,3.0,217.0,89.0,138.59861755371094,0.2285643965005874,218.6239318847656,0.7783196597353498,31.67870937697966,1,13.098576,100.06357,True,False,False,False,False,False,False,False,False,13,100,13_100
128.41916,26.333334,212.0,3.0,199.0,90.0,70.73989868164062,0.0110050421208143,268.4823303222656,0.7565234404536862,0.778495564613591,1,13.033721,100.076004,True,False,False,False,False,False,False,False,False,13,100,13_100
96.75317,27.033333,256.0,2.0,400.0,40.0,3.960284471511841,0.0110050421208143,268.4823303222656,0.411204347826087,0.043583097419394604,1,10.289474,105.51961,False,False,False,False,True,False,False,False,False,10,105,10_105
63.786762,26.85,597.0,31.0,690.0,692.0,6.706921577453613,0.0172038804739713,93.62975311279295,0.4797744801512287,0.11538507716681101,1,8.736336,98.222404,False,False,False,False,True,False,False,False,False,8,98,8_98
144.26143,26.166668,310.0,7.0,356.0,100.0,118.15170288085938,0.0024268918205052,0.0,0.7195470699432893,0.2867414013003183,1,12.360711,105.09535,False,False,False,False,False,False,True,False,False,12,105,12_105
67.15398,26.95,407.0,37.0,468.0,587.0,4.601772785186768,0.0827439203858375,259.7090148925781,0.5665461247637051,0.38076872097120756,1,7.948231,98.276276,True,False,False,False,False,False,False,False,False,7,98,7_98
129.32446,26.266666,216.0,3.0,210.0,90.0,6.258806228637695,0.0172038804739713,93.62975311279295,0.2607550094517958,0.10767575426723,1,13.06142,100.076866,False,False,False,False,True,False,False,False,False,13,100,13_100
120.53777,24.566668,395.0,11.0,602.0,68.0,6.9925384521484375,0.0144206946715712,164.5142364501953,0.5492077504725897,0.1008372619976537,1,11.435855,107.42847,False,False,True,False,False,False,False,False,False,11,107,11_107
71.777985,26.166668,441.0,27.0,556.0,298.0,282.2418518066406,0.0340652614831924,199.48704528808597,0.6885406427221172,9.614642483293652,1,8.893212,98.55698,True,False,False,False,False,False,False,False,False,8,98,8_98
74.538956,28.15,331.0,29.0,399.0,586.0,2.9493563175201416,0.0172038804739713,93.62975311279295,0.5615342155009452,0.050740373561768665,1,8.066667,98.916664,False,False,True,False,False,False,False,False,False,8,98,8_98
140.66942,26.7,229.0,4.0,204.0,64.0,89.6976318359375,0.2996403574943542,94.59349060058594,0.6918054820415879,26.87703046971728,1,13.814583,100.1017,True,False,False,False,False,False,False,False,False,13,100,13_100
70.01626,26.183332,389.0,25.0,496.0,301.0,7.350078105926514,0.0827439203858375,259.7090148925781,0.4435705103969755,0.6081742776264707,1,9.044801,98.629745,False,False,False,False,True,False,False,False,False,9,98,9_98
